first name,last name,email,age,skills,people_languages,coding languages
Ivasik,Telesik,vasik-telesik1732@izkurnanog.ua,13,"['ходить', 'говорить', 'кодить']","['Україньська', 'Англійська']","['Python', 'C++', 'lisp']"
first name,last name,email,age,skills,people_languages,coding languages
Ivasik,Telesik,vasik-telesik1732@izkurnanog.ua,13,"['ходить', 'говорить', 'кодить']","['Україньська', 'Англійська']","['Python', 'C++', 'lisp']"
first name,last name,email,age,skills,people_languages,coding languages
firstname,lastname,email,0,[],[],[]
first name,last name,email,age,skills,people_languages,coding languages
firstname,lastname,email,0,[],[],[]
first name,last name,email,age,skills,people_languages,coding languages
Ivasik,Telesik,vasik-telesik1732@izkurnanog.ua,13,"['ходить', 'говорить', 'кодить']","['Україньська', 'Англійська']","['Python', 'C++', 'lisp']"
first name,last name,email,age,skills,people_languages,coding languages
Ivasik,Telesik,vasik-telesik1732@izkurnanog.ua,13,"['ходить', 'говорить', 'кодить']","['Україньська', 'Англійська']","['Python', 'C++', 'lisp']"
first name,last name,email,age,skills,people_languages,coding languages
Ivasik,Telesik,vasik-telesik1732@izkurnanog.ua,13,"['ходить', 'говорить', 'кодить']","['Україньська', 'Англійська']","['Python', 'C++', 'lisp']"
first name,last name,email,age,skills,people_languages,coding languages
Ivasik,Telesik,vasik-telesik1732@izkurnanog.ua,13,"['ходить', 'говорить', 'кодить']","['Україньська', 'Англійська']","['Python', 'C++', 'lisp']"
